Borough,District,Building Code,DBN,School Name,SchoolFood Code,Breakfast Before Bell ADP             FY18,Breakfast Before Bell ADP             FY19,"Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY18","Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY19",Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)          FY18,Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)           FY19,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY18,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY19,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY18,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY19,Lunches ADP            FY18,Lunches ADP            FY19,Salad bar  (Y = Salad Bar offered in building)                 FY18,Salad bar  (Y = Salad Bar offered in building)                 FY19,Snacks ADP            FY18,Snacks ADP            FY19,Suppers ADP            FY18,Suppers ADP            FY19
M,2,M480,02M565,Urban Academy Laboratory High School,2513,38,39,,,true,true,,,,,47,63,true,true,,,,
M,2,M451,02M550,Liberty High School Academy for Newcomers,2514,81,74,,,true,true,,,,,147,139,true,true,69,51,,
M,2,M282,02M316,"Urban Assembly School of Business for Young Women, The",2516,18,18,,,true,true,,,,,48,20,true,true,,,,
M,2,M477,02M475,Stuyvesant High School,2519,416,388,,,true,true,,,,,1176,1180,true,true,,,,
M,2,M282,02M580,Richard R. Green High School of Teaching,2520,41,44,,,true,true,,,,,227,175,true,true,15,5,,
M,2,MBDF,84M522,ERROR: #N/A,2522,23,,,,true,,,,,,73,,true,,13,,5,
M,2,M834,02M400,High School for Environmental Studies,2524,67,42,,,true,true,,,,,326,291,true,true,,,,
M,2,M615,02M615,Chelsea Career and Technical Education High School,2525,55,47,,,true,true,,,,,170,176,true,true,,,,
M,2,M488,02M630,Art and Design High School,2531,104,101,,,true,true,,,,,595,561,true,true,25,43,19,
M,2,M480,02M449,Vanguard High School,2532,6,7,,,true,true,,,,,31,44,true,true,30,37,,
M,2,M600,02M600,The High School of Fashion Industries,2533,172,161,,,true,true,,,,,465,449,true,true,36,45,33,25
M,2,M510,01M650,Cascades High School,2534,20,15,,,true,true,,,true,true,14,11,true,true,,,,
M,2,M535,02M303,"Facing History School, The",2535,70,63,,,true,true,,,,,90,86,true,true,,28,,
M,2,M440,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,2537,26,50,,,true,true,,,,,37,43,true,true,25,25,,
M,2,M460,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2538,43,48,,,true,true,,,,,158,168,true,true,17,14,35,22
M,2,M620,02M432,MURRAY HILL ACADEMY,2539,31,42,,,true,true,,,,,61,85,true,true,,,,
M,2,M535,02M296,High School of Hospitality Management,2540,43,43,,,true,true,,,,,120,101,true,true,2,,,
M,2,M460,02M546,Academy for Software Engineering,2546,54,48,,,true,true,,,,,229,246,true,true,,,,
M,2,M833,02M489,High School of Economics and Finance,2550,45,37,,,true,true,,,,,156,166,true,true,,,,
M,2,M475,02M420,High School for Health Professions and Human Services,2551,100,101,,,true,true,,,,,485,439,true,true,,,,
M,2,M440,02M419,Landmark High School,2552,11,9,,,true,true,,,,,52,53,true,true,25,27,,
M,2,M894,02M425,Leadership and Public Service High School,2553,10,13,,,true,true,,,,,49,47,true,true,36,33,31,
M,2,M873,02M439,Manhattan Village Academy,2555,87,125,,,true,true,,,,,159,190,true,true,,,,
M,2,M480,02M459,Manhattan International High School,2556,64,66,,,true,true,,,,,135,138,true,true,,,,16
M,2,M070,02M312,New York City Lab Middle School for Collaborative,2557,38,28,,,true,true,,,,,102,90,true,true,75,49,,
M,2,M070,02M414,N.Y.C. Museum School,2558,38,39,,,true,true,,,,,94,87,true,true,,,,
M,2,M475,02M407,Institute for Collaborative Education,2559,30,25,,,true,true,,,,,23,16,true,true,55,62,,
M,2,M641,02M560,High School M560 - City As School,2561,50,35,,,true,true,,,,,23,24,true,,,10,,
M,2,M874,02M411,Baruch College Campus High School,2562,9,11,,,true,true,,,,,56,65,true,true,,,,
M,2,M620,02M500,Unity Center for Urban Technologies,2564,29,21,,,true,true,,,,,81,89,true,true,25,27,20,
M,2,MAEG,84M707,John V. Lindsay Wildcat Academy Charter School,2568,24,18,,,true,,,,,,41,34,,,10,,10,
M,2,M480,02M519,Talent Unlimited High School,2569,15,48,,,true,true,,,,,143,186,true,true,,,,
M,2,M475,75M226,P.S. M226,2571,38,36,,,true,,,,,,41,38,true,true,,,,
M,2,M510,79Q950,GED Plus - Citywide,2572,54,31,,,true,,,,true,true,63,60,true,true,,,,
M,2,MBJF,75M751,Man.Transition Ctr/Baruch Coll,2575,8,6,,,true,,,,,,8,7,,,,,,
M,2,M660,02M413,School of the Future High School,2576,34,28,,,true,true,,,,,131,126,true,true,47,46,,
M,2,M661,02M575,Manhattan Comprehensive Night and Day High School,2579,50,50,,,true,true,,,,,239,232,true,true,,,,
M,2,M920,02M570,Satellite Academy High School,2581,10,14,,,true,true,,,,,23,22,true,true,,,,
M,2,MASN,79Q950,ERROR: #N/A,2582,4,,,,true,,,,true,true,3,,true,,,,,
M,2,M855,02M416,Eleanor Roosevelt High School,2584,49,34,,,true,true,,,,,84,98,true,true,,16,,
M,2,M510,01M458,Forsyth Satellite Academy,2587,29,24,,,true,true,,,,,14,14,true,true,,,,
M,2,M535,02M288,Food and Finance High School,2588,43,48,,,true,true,,,,,90,89,true,true,,,,
M,2,MASL,79Q950,GED Plus - Citywide,2592,9,8,,,true,,,,true,true,9,8,,,,,,
M,2,M896,02M531,Repertory Company High School for Theatre Arts,2597,24,37,,,true,true,,,,,80,84,true,true,,,,
M,2,M824,02M418,Millennium High School,2598,46,46,,,true,true,,,,,141,157,true,true,,,,
M,2,M840,02M150,P.S. 150,2603,15,15,,,true,true,,,,,52,54,,,,,,
M,2,M440,02M605,Humanities Preparatory Academy,2605,30,32,,,true,true,,,,,6,8,true,true,,,,
M,2,M625,84M523,Success Academy Charter School - Midtown West,2623,79,63,,,true,true,,,,true,150,163,,true,,,,
M,2,M816,02M527,PS 527 - East Side School for Social Action,2627,40,50,,,true,true,true,true,,true,211,295,true,true,,,,
M,2,M460,02M533,Union Square Academy for Health Sciences,2633,48,50,,,true,true,,,,,158,150,true,true,,,39,32
M,2,M883,02M534,Harvest Collegiate High School,2634,52,36,,,true,true,,,,,134,115,true,true,41,44,,
M,2,M033,75M138,P.S. 138,2638,52,58,,,true,,,,,,52,58,true,true,,,,
M,2,M040,02M255,M.S. 255 Salk School of Science,2640,17,10,,,true,true,,,,,46,40,true,true,74,76,,
M,2,M114,02M114,East Side Middle School,2642,5,7,,,true,true,,,,,49,53,true,true,28,28,,
M,2,M844,75M721,P.S. M721 @ PS 138X,2648,8,7,,,true,,,,,,7,6,,,,,10,5
M,2,M999,75M751,P751M Manhattan School for Career Development,2651,6,6,,,true,,,,,,6,6,,,,,,
M,2,M340,02M391,Pre-K Center at 590 Sixth Avenue,2692,36,26,,,true,,,,,,46,34,true,true,,,,
M,2,M343,02M391,Pre-K Center at 1 Peck Slip,2693,73,59,,,true,,,,,,73,59,true,true,,,,
M,2,M338,75M094,P094M @ PS 051 Elias Howe,2694,29,28,,,true,,,,,,29,28,true,true,,,,
M,2,M281,75M094,P094M @ The River School,2695,30,30,,,true,,,,,,31,32,true,true,,,,
M,2,M391,02M391,Pre-K Center at 2-26 Washington St,2696,25,13,,,true,,,,,,28,21,,,,,,
M,2,M860,02M391,Pre-K Center at 52 Chambers Street,2697,32,24,,,true,,,,,,28,24,,,,,,
M,2,M875,75M226,P226M @ Manhattan School,2805,19,19,,,true,,,,,,19,18,,,,,,
M,2,M641,75M721,P.S. M721 - Manhattan Occupational Training Center,2809,59,57,,,true,,,,,,92,89,true,,,,18,9
M,2,M615,75M721,P721M@ Chelsea HS,2822,2,2,,,true,,,,,,5,5,true,true,,,,
M,2,M883,75M721,P721M @ Legacy HS,2823,2,2,,,true,,,,,,6,7,true,true,,,,
M,2,M440,75M751,Manhattan School for Career Development,2824,1,1,,,true,,,,,,4,3,true,true,,,,
M,2,MAMX,75M226,P.S. M226,2826,8,8,,,true,,,,,,8,8,,,,,,
M,2,M111,02M933,City Knoll Middle School,2833,36,20,,,true,true,,,,,153,110,true,true,20,37,81,70
M,2,M047,75M138,P721M at M047,2838,24,21,,,true,,,,,,24,21,true,true,,,,
M,2,M660,75M138,P226M at M660,2840,1,2,,,true,,,,,,2,2,true,true,,,,
M,2,M017,02M408,Professional Performing Arts High School,2841,28,20,,,true,true,,,,,64,58,true,true,44,26,,
M,2,M600,75M751,P751M @ Fashion Industries HS,2851,3,3,,,true,,,,,,4,4,true,true,,,,
M,2,MAEN,02N911,Lorge School,2862,60,61,,,true,true,,,,,60,61,,,,,,
M,2,MBNS,84M263,ERROR: #N/A,2863,21,,,,true,,,,,,74,,true,,161,,,
M,2,M824,75M226,P.S. M226 @ Millennium HS,2867,5,5,,,true,,,,,,9,8,true,true,,,,
M,2,M131,02M131,M.S. 131,2868,79,70,,,true,true,,,,,279,216,true,true,64,71,67,54
